variable,mean,std
total_asset,3.371488153255284e+19,5.305257001371658e+21
age_of_account,59796780.52516118,304659362.0334478
transaction_amount,8.936617557824255e+19,1.3355349943373825e+22
frequency_of_transaction,0,0
